uid,year,region,service_state,grantee_name,grant_number,grant_type,program_name,program_number,program_type,total_cumulative_enrollment,total_cumulative_enrolled_children,newly_enrolled_children,less_than_1_year_old,x1_year_old,x2_years_old,x3_years_old,x4_years_old,x5_years_and_older,pregnant_women,income_eligibility,receipt_of_public_assistance_eligibility,foster_children_eligibility,homeless_children_eligibility,over_income_eligibility,income_between_100_percent_and_130_percent_of_poverty_eligibility,hispanic_or_latino_origin_any_race_enrollees,asian_non_hispanic_enrollees,black_or_african_american_non_hispanic_enrollees,native_hawaiian_pacific_islander_non_hispanic_enrollees,white_non_hispanic_enrollees,biracial_or_multi_racial_non_hispanic_enrollees,other_race_non_hispanic_enrollees,total_noncontracted_staff,total_contracted_staff,total_departed_staff,total_departed_noncontracted_staff,total_departed_contracted_staff,total_hs_prek_teachers,total_ehs_it_teachers,total_departed_teachers,children_with_health_insurance_at_enrollment,children_with_health_insurance_at_end_of_enrollment_year,children_with_ongoing_source_of_continuous_accessible_health_care_at_enrollment_start,children_with_ongoing_source_of_continuous_accessible_health_care_at_end_enrollment,children_up_to_date_on_epdst_at_enrollment_start,children_up_to_date_on_epdst_at_enrollment_end,hs_prek_children_with_an_iep,ehs_it_children_with_an_iep,hs_prek_health_impairment,hs_prek_emotional_disturbance,hs_prek_speech_impairment,hs_prek_intellectual_disabilities,hs_prek_hearing_impairment,hs_prek_orthopedic_impairment,hs_prek_visual_impairment,hs_prek_specific_learning_disabilities,hs_prek_autism,hs_prek_traumatic_brain_injury,hs_prek_non_categorical_developmental_delay,hs_prek_multiple_disabilities_excluding_deaf_blind,hs_prek_deaf_blind,newly_enrolled_children_who_completed_behavorial_screenings,homeless_children_served,foster_care_children_served
01CH010876-000-2019,2019,Region 1,CT,"Thames Valley Council for Community Action, Inc.",01CH010876,CH,"THAMES VALLEY COUNCIL FOR COMMUNITY ACTION, INC",000,HS,402,402,265,0,0,13,184,205,0,0,241,47,8,17,22,67,197,18,75,1,79,32,0,94,2,11,10,1,16,NA,2,393,398,397,402,33,370,50,NA,0,0,5,0,0,0,0,0,3,0,42,0,0,232,15,9
01CH010876-200-2019,2019,Region 1,CT,"Thames Valley Council for Community Action, Inc.",01CH010876,CH,"THAMES VALLEY COUNCIL FOR COMMUNITY ACTION, INC",200,EHS,132,129,56,28,37,51,13,0,0,3,86,19,3,10,1,13,70,3,20,0,34,5,0,10,1,1,1,0,NA,0,0,129,128,129,129,9,47,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,10,5
01CH10014-000-2019,2019,Region 1,CT,"Human Resources Agency of New Britain, Inc.",01CH10014,CH,"Human Resources Agency of New Britain, Inc.",000,HS,306,306,207,0,0,11,130,165,0,0,189,53,4,25,12,23,220,3,33,0,35,15,0,58,0,6,6,0,15,NA,0,303,303,305,301,219,234,39,NA,0,0,9,0,0,0,0,0,1,0,29,0,0,147,29,6
01CH10022-000-2019,2019,Region 1,CT,"West Haven Community House Association, Incorporated, The",01CH10022,CH,"The West Haven Community House Association, Inc.",000,HS,151,151,97,0,0,0,71,80,0,0,107,4,1,4,14,21,55,2,34,0,27,12,1,43,2,4,4,0,16,NA,1,137,136,151,151,55,148,16,NA,0,0,8,0,0,1,0,0,0,0,7,0,0,86,5,3
01CH10033-000-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01CH10033,CH,"Training, Education, and Manpower, Inc.",000,HS,182,182,58,0,0,0,81,101,0,0,136,21,8,5,12,0,124,0,41,2,7,6,0,55,0,18,18,0,7,NA,6,181,181,182,182,182,182,21,NA,0,0,0,0,0,0,0,0,0,0,21,0,0,58,21,9
01CH10033-001-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01CH10033,CH,Naugatuck Public Schools Head Start,001,HS,103,103,64,0,0,0,40,63,0,0,62,5,4,1,0,31,26,6,14,0,42,12,3,18,0,1,1,0,16,NA,2,103,103,103,103,102,50,15,NA,0,0,3,0,1,0,0,1,0,0,10,0,0,54,2,5
01CH10033-200-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01CH10033,CH,"Training, Education, and Manpower, Inc.",200,EHS,174,169,107,41,51,68,9,0,0,5,121,32,6,8,7,0,106,1,42,0,9,4,0,54,0,16,16,0,NA,18,3,168,168,169,169,125,169,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,14,11
01CH10037-000-2019,2019,Region 1,CT,East Hartford Public Schools,01CH10037,CH,Early Childhood Learning Center at Hockanum School,000,HS,184,184,136,0,0,3,81,100,0,0,130,31,4,2,17,0,119,3,46,0,6,10,0,35,0,2,2,0,9,NA,0,179,182,183,184,180,172,23,NA,1,0,8,0,0,0,0,0,4,0,10,0,0,128,2,6
01CH2102-200-2019,2019,Region 1,CT,United Way of Greater New Haven,01CH2102,CH,UNITED WAY OF GREATER NEW HAVEN,200,EHS,46,46,22,13,14,16,3,0,0,0,32,6,0,4,0,4,16,0,22,0,2,3,0,16,12,7,4,3,NA,0,0,46,46,46,46,46,46,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,7,1
01CH2164-000-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01CH2164,CH,"TRAINING EDUCATION & MANPOWER, INC",000,HS,91,91,54,0,0,0,41,50,0,0,73,4,3,5,4,2,40,4,15,0,21,11,0,37,0,6,6,0,6,NA,2,91,91,77,91,54,91,8,NA,0,0,0,0,0,0,0,0,3,0,5,0,0,54,6,4
01CH2164-200-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01CH2164,CH,"TRAINING EDUCATION & MANPOWER, INC",200,EHS,36,36,8,5,10,21,0,0,0,0,20,10,1,0,1,4,14,0,7,0,11,4,0,22,0,4,4,0,NA,6,0,35,36,36,36,24,36,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1
01CH2233-000-2019,2019,Region 1,CT,"City of New Haven, Inc.",01CH2233,CH,New Haven Public Schools,000,HS,573,573,300,0,0,8,198,365,2,0,278,124,7,24,58,82,238,12,256,0,13,16,15,134,0,0,0,0,40,NA,0,67,518,68,532,434,494,12,NA,1,0,3,0,0,0,0,0,0,0,7,0,0,94,24,7
01CH2242-000-2019,2019,Region 1,CT,"Children's Learning Centers of Fairfield County, Inc.",01CH2242,CH,"Child Care Learning Centers, Inc.",000,HS,211,211,139,0,0,5,99,107,0,0,168,11,6,22,4,0,152,3,49,0,6,1,0,39,0,8,8,0,12,NA,1,203,203,211,211,80,170,27,NA,0,0,7,0,0,0,0,0,1,0,19,0,0,139,11,8
01CH2242-001-2019,2019,Region 1,CT,"Children's Learning Centers of Fairfield County, Inc.",01CH2242,CH,Greenwich Head Start,001,HS,37,37,20,0,0,2,18,17,0,0,27,3,1,1,2,3,24,0,5,3,5,0,0,6,0,0,0,0,4,NA,0,34,37,34,37,34,37,6,NA,0,0,4,0,0,0,0,0,0,0,1,1,0,20,1,1
01CH2242-200-2019,2019,Region 1,CT,"Children's Learning Centers of Fairfield County, Inc.",01CH2242,CH,"Child Care Learning Centers, Inc.",200,EHS,42,42,22,7,16,19,0,0,0,0,20,4,2,16,0,0,20,0,17,0,4,1,0,13,30,0,0,0,NA,10,0,40,40,41,41,7,23,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,13,2
01CH2441-000-2019,2019,Region 1,CT,"Alliance For Community Empowerment, Inc.",01CH2441,CH,"Action for Bridgeport Community Development, Inc.",000,HS,998,998,438,0,0,39,380,383,196,0,851,30,7,17,45,48,496,13,398,0,36,22,14,238,18,25,24,1,37,NA,4,984,984,996,995,647,861,106,NA,0,0,1,0,1,0,0,0,2,0,102,0,0,322,48,38
01CH2441-001-2019,2019,Region 1,CT,"Alliance For Community Empowerment, Inc.",01CH2441,CH,Greater Trumbull/Monroe Regional Head Start,001,HS,37,37,21,0,0,0,12,25,0,0,28,4,0,0,1,4,8,1,7,0,16,5,0,9,0,0,0,0,2,NA,0,37,37,37,37,37,37,6,NA,1,0,1,0,0,0,0,0,0,0,4,0,0,21,0,0
01CH2441-200-2019,2019,Region 1,CT,"Alliance For Community Empowerment, Inc.",01CH2441,CH,"Action for Bridgeport Community Development, Inc.",200,EHS,321,314,151,28,73,213,0,0,0,7,266,4,1,12,23,15,151,1,132,0,14,10,1,238,18,25,24,1,NA,42,6,307,307,305,305,153,198,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18,11
01CH2524-000-2019,2019,Region 1,CT,"Meriden Young Men's Christian Association, Inc.",01CH2524,CH,"Meriden Young Men`s Christian Association, Inc",000,HS,183,183,114,0,0,0,73,110,0,0,158,16,4,4,1,0,144,4,13,0,10,8,3,58,5,9,9,0,9,NA,2,179,179,73,182,106,181,38,NA,0,0,8,0,0,0,0,0,9,0,21,0,0,114,1,4
01CH2525-200-2019,2019,Region 1,CT,Area Cooperative Educational Services,01CH2525,CH,AREA COOPERATIVE EDUCATIONAL SERVICES,200,EHS,110,92,53,44,25,22,1,0,0,18,58,18,1,26,7,0,35,4,21,0,36,13,0,6,9,3,1,2,NA,0,0,92,92,92,92,80,85,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,2
01HP0011-200-2019,2019,Region 1,CT,"Training, Education, and Manpower, Inc.",01HP0011,HP,"TRAINING, EDUCATION AND MANPOWER, INC.",200,EHS,97,97,24,4,15,34,41,3,0,0,86,1,6,0,4,0,32,0,2,0,56,3,0,10,19,1,1,0,NA,10,0,97,97,97,97,94,94,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,6
01HP0012-200-2019,2019,Region 1,CT,United Way of Greater New Haven,01HP0012,HP,"United Way of Greater New Haven, Inc.",200,EHS,102,102,51,31,30,30,11,0,0,0,79,10,1,9,0,3,22,0,49,0,5,6,0,51,19,9,7,2,NA,12,3,101,102,102,102,96,96,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0
01HP0013-200-2019,2019,Region 1,CT,Lulac Head Start Inc.,01HP0013,HP,LULAC Head Start Inc.,200,EHS,151,151,78,18,54,61,18,0,0,0,95,27,6,5,2,16,68,3,52,0,9,8,1,71,0,6,6,0,NA,17,0,151,151,151,151,151,151,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,66,5,7
01CH010226-000-2019,2019,Region 1,MA,People Acting in Community Endeavors,01CH010226,CH,"PEOPLE ACTING IN COMMUNITY ENDEAVORS, INC.",000,HS,301,301,183,0,0,2,130,169,0,0,154,99,4,5,30,9,156,5,5,2,67,33,18,68,0,6,6,0,19,NA,2,301,301,301,301,301,300,31,NA,1,0,13,0,0,1,0,0,0,0,16,0,0,182,7,4
01CH010226-200-2019,2019,Region 1,MA,People Acting in Community Endeavors,01CH010226,CH,"PEOPLE ACTING IN COMMUNITY ENDEAVORS, INC.",200,EHS,11,8,8,4,3,1,0,0,0,3,6,4,0,0,1,0,7,0,0,0,3,1,0,4,0,0,0,0,NA,4,0,8,8,8,8,8,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0
01CH010242-000-2019,2019,Region 1,MA,Self-Help Incorporated,01CH010242,CH,"Self Help, Inc.",000,HS,732,732,454,0,0,7,311,389,25,0,494,68,12,37,27,94,170,15,243,8,146,83,49,242,1,34,34,0,45,NA,7,729,726,640,635,475,615,72,NA,0,0,36,1,0,2,0,1,3,0,29,0,0,296,63,23
01CH010243-000-2019,2019,Region 1,MA,"Community Teamwork, Inc.",01CH010243,CH,"Community Teamwork, Inc.",000,HS,554,554,231,0,0,104,231,219,0,0,339,72,13,18,64,48,280,41,79,1,126,27,0,110,0,15,15,0,25,NA,4,554,554,553,554,533,540,48,NA,0,0,18,0,0,0,1,0,5,0,23,0,0,211,34,27
01CH010243-200-2019,2019,Region 1,MA,"Community Teamwork, Inc.",01CH010243,CH,"Community Teamwork, Inc.",200,EHS,176,171,62,61,56,51,3,0,0,5,118,22,2,12,11,11,92,14,13,0,46,10,1,43,0,4,4,0,NA,23,4,171,171,171,171,143,158,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,15,5
01CH010244-000-2019,2019,Region 1,MA,"Making Opportunity Count, Inc.",01CH010244,CH,"Montachusett Opportunity Council, Inc.",000,HS,429,429,278,0,0,0,131,298,0,0,273,45,12,1,39,59,182,5,13,10,188,29,0,119,0,15,15,0,50,NA,5,338,429,367,429,356,369,76,NA,0,0,39,0,1,0,0,0,8,0,28,0,0,272,10,20
01CH010244-200-2019,2019,Region 1,MA,"Making Opportunity Count, Inc.",01CH010244,CH,"Montachusett Opportunity Council, Inc.",200,EHS,34,32,23,7,6,19,0,0,0,2,14,3,1,3,3,10,13,1,0,0,20,0,0,19,0,0,0,0,NA,3,0,31,32,31,32,31,32,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3,1
01CH010312-000-2019,2019,Region 1,MA,"Triumph, Inc.",01CH010312,CH,"Triumph, Inc.",000,HS,239,239,137,0,0,52,82,105,0,0,125,24,13,19,25,33,61,2,44,0,86,26,0,88,1,20,20,0,26,NA,4,238,238,235,238,147,201,34,NA,0,0,10,0,0,0,2,0,3,0,19,0,0,121,40,20
01CH010312-200-2019,2019,Region 1,MA,"Triumph, Inc.",01CH010312,CH,"Triumph, Inc.",200,EHS,162,156,79,36,60,48,12,0,0,6,100,16,11,7,7,21,50,5,37,0,47,15,0,83,1,18,18,0,NA,20,2,155,155,151,154,81,109,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,23,15
01CH010314-000-2019,2019,Region 1,MA,"Community Action, Inc.",01CH010314,CH,"Community Action, Inc.",000,HS,199,199,131,0,0,25,78,96,0,0,103,23,3,11,21,38,104,0,8,1,76,9,0,55,1,11,11,0,12,NA,4,199,199,197,197,118,183,22,NA,0,0,20,0,0,0,0,0,0,0,2,0,0,54,10,5
01CH010314-200-2019,2019,Region 1,MA,"Community Action, Inc.",01CH010314,CH,"Community Action, Inc.",200,EHS,137,121,59,48,43,30,0,0,0,16,85,17,3,13,10,9,77,2,25,0,32,1,0,23,2,5,5,0,NA,10,2,120,121,121,121,77,78,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,17,5
01CH010375-000-2019,2019,Region 1,MA,Dimock Community Services Corporation,01CH010375,CH,Dimock Head Start,000,HS,131,131,41,0,0,35,65,31,0,0,79,24,2,6,20,0,55,2,70,0,0,4,0,36,0,8,8,0,6,NA,2,131,131,131,131,108,56,5,NA,0,0,5,0,0,0,0,0,0,0,0,0,0,41,7,2
01CH010375-200-2019,2019,Region 1,MA,Dimock Community Services Corporation,01CH010375,CH,Dimock Early Head Start,200,EHS,277,246,157,89,90,67,0,0,0,31,166,37,2,26,42,4,131,3,140,0,3,0,0,68,0,11,11,0,NA,40,6,238,246,245,245,229,120,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,31,2
01CH010464-200-2019,2019,Region 1,MA,"Riverside Community Care, Inc.",01CH010464,CH,"RIVERSIDE COMMUNITY CARE, INC.",200,EHS,157,140,71,55,34,35,16,0,0,17,120,2,0,1,15,19,86,27,37,0,7,0,0,21,1,5,5,0,NA,0,0,140,140,140,140,95,80,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,28,0
01CH010465-000-2019,2019,Region 1,MA,"Pathways for Children, Inc.",01CH010465,CH,"PATHWAYS FOR CHILDREN, INC.",000,HS,228,228,133,0,0,36,87,105,0,0,131,25,2,16,10,44,94,4,26,0,98,6,0,49,0,5,5,0,15,NA,4,226,225,225,227,52,187,18,NA,0,0,13,0,1,0,0,0,0,0,4,0,0,124,21,5
01CH010695-000-2019,2019,Region 1,MA,"Community Action Pioneer Valley, Inc.",01CH010695,CH,"COMMUNITY ACTION PIONEER VALLEY, INC",000,HS,425,425,216,0,0,79,138,177,31,0,224,47,20,54,46,34,131,46,16,0,205,23,0,140,6,39,38,1,31,NA,9,424,424,424,424,372,315,46,NA,0,2,13,0,0,0,0,0,1,0,30,0,0,211,58,25
01CH010695-200-2019,2019,Region 1,MA,"Community Action Pioneer Valley, Inc.",01CH010695,CH,"COMMUNITY ACTION PIONEER VALLEY, INC",200,EHS,216,198,94,64,65,64,5,0,0,18,105,28,19,35,19,10,65,16,20,0,90,14,1,92,3,23,23,0,NA,14,4,196,196,196,197,178,114,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,41,23
01CH010712-000-2019,2019,Region 1,MA,"South Shore Community Action Council, Inc.",01CH010712,CH,"SOUTH SHORE COMMUNITY ACTION COUNCIL, INC",000,HS,230,230,140,0,0,37,97,96,0,0,155,29,4,15,23,4,35,6,17,1,128,20,0,65,0,2,2,0,11,NA,4,230,230,218,223,228,213,18,NA,0,0,8,0,0,0,0,0,0,0,10,0,0,131,20,4
01CH010712-200-2019,2019,Region 1,MA,"South Shore Community Action Council, Inc.",01CH010712,CH,"SOUTH SHORE COMMUNITY ACTION COUNCIL, INC",200,EHS,153,145,78,58,48,39,0,0,0,8,127,23,1,0,2,0,23,2,15,1,69,21,0,57,0,2,2,0,NA,12,2,144,144,123,128,129,105,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,34,4
01CH010716-000-2019,2019,Region 1,MA,"Holyoke, Chicopee, Springfield Head Start Inc.",01CH010716,CH,"HOLYOKE CHICOPEE SPRINGFIELD HEAD START, INC.",000,HS,976,976,554,0,0,209,392,374,1,0,345,352,32,79,75,93,89,11,101,1,56,23,0,342,7,43,43,0,58,NA,10,975,976,972,976,892,916,149,NA,0,0,19,0,1,0,0,0,48,0,81,0,0,479,74,40
01CH010716-200-2019,2019,Region 1,MA,"Holyoke, Chicopee, Springfield Head Start Inc.",01CH010716,CH,"HOLYOKE CHICOPEE SPRINGFIELD HEAD START, INC.",200,EHS,81,80,43,14,38,27,1,0,0,1,22,18,7,23,5,6,12,0,11,0,5,2,0,199,1,22,22,0,NA,12,3,80,80,79,80,61,76,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,19,9
01CH010826-000-2019,2019,Region 1,MA,"Communities United, Inc.",01CH010826,CH,"COMMUNITIES UNITED, INC",000,HS,248,248,135,0,0,25,84,138,1,0,154,10,1,12,23,48,128,21,40,0,53,4,0,76,3,6,6,0,19,NA,2,248,248,248,248,248,248,11,NA,0,0,4,0,0,0,0,0,0,0,1,6,0,131,13,2
01CH010826-200-2019,2019,Region 1,MA,"Communities United, Inc.",01CH010826,CH,"COMMUNITIES UNITED, INC",200,EHS,57,57,27,6,19,32,0,0,0,0,36,2,0,7,2,10,28,5,13,0,9,2,0,22,3,1,0,1,NA,5,1,57,57,54,54,52,55,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10,0
01CH010902-000-2019,2019,Region 1,MA,"Pathways for Children, Inc.",01CH010902,CH,"Pathways for Children, Inc.",000,HS,133,133,64,0,0,28,43,62,0,0,103,0,3,4,11,12,31,3,6,0,84,8,0,78,0,10,10,0,12,NA,3,129,123,131,131,58,125,19,NA,0,1,6,0,0,0,0,0,8,0,4,0,0,55,10,11
01CH010902-200-2019,2019,Region 1,MA,"Pathways for Children, Inc.",01CH010902,CH,"Pathways for Children, Inc.",200,EHS,30,30,14,30,0,0,0,0,0,0,24,1,2,0,1,2,2,0,0,0,24,4,0,56,0,8,8,0,NA,6,1,30,28,30,30,22,28,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7
01CH010903-000-2019,2019,Region 1,MA,Worcester Public Schools - Child Development Head Start,01CH010903,CH,Worcester Public Schools - Child Development Head Start,000,HS,669,669,452,0,0,0,264,405,0,0,389,110,6,18,39,107,395,9,120,0,126,19,0,170,0,25,25,0,35,NA,7,669,669,666,669,612,576,79,NA,0,0,46,0,0,0,0,0,0,0,32,1,0,417,31,25
01CH10003-000-2019,2019,Region 1,MA,"Action for Boston Community Development, Inc.",01CH10003,CH,"Action for Boston Community Development, Inc.",000,HS,164,164,89,0,0,11,60,93,0,0,111,9,0,4,40,0,36,29,47,0,44,3,4,58,0,16,16,0,10,NA,3,160,164,157,157,119,44,6,NA,0,0,4,0,0,0,0,0,2,0,0,0,0,86,8,0
01CH10012-000-2019,2019,Region 1,MA,"Worcester Community Action Council, Inc.",01CH10012,CH,"Worcester Community Action Council, Inc.",000,HS,230,230,144,0,0,0,119,111,0,0,131,48,5,5,18,23,133,1,7,0,75,7,6,54,0,4,4,0,13,NA,1,230,230,230,230,210,227,21,NA,0,0,18,0,0,0,0,0,3,0,0,0,0,90,13,8
01CH10012-200-2019,2019,Region 1,MA,"Worcester Community Action Council, Inc.",01CH10012,CH,"Worcester Community Action Council, Inc.",200,EHS,93,81,36,27,26,28,0,0,0,12,57,13,4,4,6,9,40,1,7,0,32,12,0,18,0,0,0,0,NA,0,0,80,81,81,81,72,80,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,4
