"schema","table","is_view","column","column_proper","description"
"pir_question_links"," unlinked",0," year"," Year"," Year from which question is drawn."
"pir_question_links"," unlinked",0," category"," Category"," Category of question."
"pir_question_links"," unlinked",0," proposed_link"," Proposed Link"," Link(s) proposed by the base matching algorithm."
"pir_question_links"," unlinked",0," question_name"," Question Name"," Name of question."
"pir_question_links"," unlinked",0," question_number"," Question Number"," Number of question."
"pir_question_links"," unlinked",0," question_text"," Question Text"," Text of question."
"pir_question_links"," unlinked",0," section"," Section"," Section in which question is found in survey."
"pir_question_links"," proposed_link",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_question_links"," proposed_link",0," year"," Year"," Year from which question is drawn."
"pir_question_links"," proposed_link",0," proposed_link"," Proposed Link"," Link(s) proposed by the base matching algorithm."
"pir_question_links"," imperfect_link_v",1," uqid"," Unique Question ID"," Unique question ID, across years."
"pir_question_links"," imperfect_link_v",1," inconsistent_question_id"," Inconsistent Question ID"," Binary (0, 1) for whether this uqid has inconsistent question IDs."
"pir_question_links"," imperfect_link_v",1," intermittent_link"," Intermittent Link"," Binary (0, 1) for whether this uqid has is intermittently linked."
"pir_question_links"," inconsistent_question_id_v",1," uqid"," Unique Question ID"," Unique question ID, across years."
"pir_question_links"," inconsistent_question_id_v",1," inconsistent_question_id"," Inconsistent Question ID"," Binary (0, 1) for whether this uqid has inconsistent question IDs."
"pir_question_links"," intermittent_link_v",1," uqid"," Unique Question ID"," Unique question ID, across years."
"pir_question_links"," intermittent_link_v",1," intermittent_link"," Intermittent Link"," Binary (0, 1) for whether this uqid has is intermittently linked."
"pir_question_links"," new_questions_v",1," year"," Year"," Year from which question is drawn."
"pir_question_links"," new_questions_v",1," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_question_links"," new_questions_v",1," category"," Category"," Category of question."
"pir_question_links"," new_questions_v",1," question_name"," Question Name"," Name of question."
"pir_question_links"," new_questions_v",1," question_number"," Question Number"," Number of question."
"pir_question_links"," new_questions_v",1," question_text"," Question Text"," Text of question."
"pir_question_links"," new_questions_v",1," section"," Section"," Section in which question is found in survey."
"pir_question_links"," unlinked_v",1," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_question_links"," unlinked_v",1," proposed_id"," Proposed ID"," ID of proposed link."
"pir_question_links"," unlinked_v",1," question_name_dist"," Question Name Distance"," Levenshtein distance between question_name of question_id and proposed_id."
"pir_question_links"," unlinked_v",1," question_text_dist"," Question Text Distance"," Levenshtein distance between question_text of question_id and proposed_id."
"pir_question_links"," unlinked_v",1," question_number_dist"," Question Number Distance"," Levenshtein distance between question_number of question_id and proposed_id."
"pir_question_links"," unlinked_v",1," section_dist"," Section Distance"," Levenshtein distance between section of question_id and proposed_id."
"pir_question_links"," unlinked_v",1," year"," Year"," Year from which question is drawn."
"pir_question_links"," unlinked_v",1," question_name"," Question Name"," Name of question."
"pir_question_links"," unlinked_v",1," question_number"," Question Number"," Number of question."
"pir_question_links"," unlinked_v",1," question_text"," Question Text"," Text of question."
"pir_question_links"," unlinked_v",1," section"," Section"," Section in which question is found in survey."
"pir_question_links"," linked_v",1," uqid"," Unique Question ID"," Unique question ID, across years."
"pir_question_links"," linked_v",1," year"," Year"," Year from which question is drawn."
"pir_question_links"," linked_v",1," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_question_links"," linked_v",1," category"," Category"," Category of question."
"pir_question_links"," linked_v",1," question_name"," Question Name"," Name of question."
"pir_question_links"," linked_v",1," question_number"," Question Number"," Number of question."
"pir_question_links"," linked_v",1," question_text"," Question Text"," Text of question."
"pir_question_links"," linked_v",1," section"," Section"," Section in which question is found in survey."
